,formula,bandgap,effective_mass_n,effective_mass_p,ave_ele_diele,ave_ion_diele,formation_energy
0,Al2Ge2O7,6.6385000000000005,1.3009010744877636,18.010642044441987,3.204407,4.862990666666667,-2.702367327272727
1,Al2ZnO4,7.340700000000001,1.06387150003025,5.055666910150297,3.365741,5.302893,-3.021072628571428
2,Ag2BiO3,0.8470000000000004,6.315778934670852,4.3994705057440555,12.922059666666668,11.664903333333333,-0.9207718288888884
3,Al2PbO4,6.0424999999999995,12.967970528860246,14.230750946941914,3.708021,14.354939333333334,-2.89378359
4,Al4Bi2O9,4.447100000000001,2.2325528872476696,6.760358505538957,4.355632666666667,9.627726000000001,-2.857885394000002
5,AgAuO2,1.2439999999999998,4.586729964359628,5.95227642170727,10.273909666666666,3.2848563333333334,-0.4721402929166656
6,Al2O3,9.3329,1.1177821774265209,12.457412134524317,3.2576206666666665,6.876356,-3.4265510080000006
7,Ag2HgO2,1.0446000000000004,2.9366971619485334,8.661270662510992,9.138385333333334,2.1458973333333335,-0.45969821916666653
8,Ba2Ca(PdO2)3,3.0387999999999997,10.06625698481264,13.18337363619647,5.83237,26.076237666666668,-2.0190237954166657
9,As2Pb3O8,4.9917,8.016628440128027,54.73771559936372,4.870617666666667,22.20370266666667,-1.7352351134615382
10,Ba2Ca(BO3)2,6.9755,2.565190835318146,28.922269516388603,3.489561666666667,8.556319666666667,-3.2246886053030304
11,B2O3,10.3086,5.317769197004939,38.38334240521138,2.8887676666666664,2.7730753333333333,-2.7980563099999998
12,B4PbO7,6.3854,2.004499426039477,4.932813983365877,3.9036566666666666,12.248841333333333,-2.6473397413888877
13,As2PbO4,4.2247,2.457266929879295,7.466708156497466,4.637485333333333,6.2119670000000005,-1.6492657325
14,Au2O3,1.9444000000000004,3.2129951226925577,7.926277070545876,9.075532,0.9661006666666667,-0.457853579
15,AlAgO2,2.9765000000000006,2.379956347781745,6.448057256287865,5.935813666666667,4.636687666666667,-2.3074725154166664
16,Ba2Bi2O5,3.0674999999999994,1.921462135137109,4.606262925047064,5.367346666666667,27.910746333333336,-2.288426511111112
17,As2O3,5.3431,3.5179370259615093,5.774102895047427,3.9215056666666666,4.464190666666667,-1.6290845505
18,Ba(SbO3)2,5.7925,1.3368866246577058,9.229933065075018,3.464451,6.120894333333333,-2.376871872222223
19,AlTl(MoO4)2,5.744999999999999,14.538855249241836,17.45266629012869,3.5213699999999997,6.577614666666666,-2.2039454869444457
20,Ba2BiSbO6,2.9361,1.0285066546899293,3.5960145401272543,5.461041666666667,21.704572,-2.453007994999999
21,B6O,3.0224,0.9561440097749034,1.7547746228051928,5.823695,0.6128313333333334,-0.8052726049999999
22,AlCuO2,3.913500000000001,2.6386687028023803,9.1813873973563,4.823215333333334,3.7819380000000002,-2.4172544249999994
23,As2PbO6,3.9249000000000005,1.122228745633051,2.1911803215379373,4.528085,12.277197000000001,-1.7356450333333333
24,Ba(AsO3)2,5.7362,1.5071791799196914,97.74600836796748,3.480794,8.742874,-2.1914320077777782
25,AlSbO4,4.2661,0.9632217773785655,4.20393300406782,4.032906333333333,6.779495333333333,-2.5433669000000005
26,AlAsO4,8.8575,1.5920584092617949,40.294829642837854,2.4325093333333334,1.8331763333333333,-2.444837554166667
27,Ba(CuO)2,2.7734,1.3435152307536862,9.97011519374702,5.409474666666667,8.590298333333333,-1.6165894720000002
28,BAsO4,8.0243,1.957715740995596,7.005822905359382,3.087268,2.635071,-2.132276382361111
29,AsAuO4,4.2709,9.000416845935057,9.892992305002423,4.259445666666667,2.0110473333333334,-1.1668046675000001
30,Ba2Ca(BO2)6,8.4683,1.806633362331343,22.331739694948915,2.926589,4.559086,-3.1139662421428564
31,Ba(AuO2)2,2.9785,14.03929295567555,12.455286846312479,6.319468,4.0122496666666665,-1.4456374999999992
32,Ba(AgO)2,3.1586,4.939690867278837,5.5993888950620985,6.113091333333333,10.979407666666667,-1.4029555216666667
33,Ba2CaWO6,4.6526,2.686313804391781,9.619844171130197,4.616247333333333,22.079535333333336,-3.0327377689999997
34,Ba2CdGe2O7,5.6263000000000005,1.5673958009795825,13.223184018371505,3.4139700000000004,6.763973,-2.5077382379166666
35,Ba2LaBiO6,3.5502,1.304682045480441,4.577801943461711,4.97407,18.694130666666663,-2.7881723035000006
36,Ba2InGaO5,3.5417000000000005,0.8558765753805464,5828.368277879177,4.3093,13.787393333333334,-2.5715327063888895
37,Ba2In2O5,2.6029,0.868813352194377,10415.676399908878,4.635859666666666,9.210798666666667,-2.424057256666667
38,Ba2InCuO4,3.4818,1.1580387465542406,14.707064176341083,4.566456333333334,18.192172666666668,-2.2261865999999997
39,Ba2HfO4,5.4018,1.6155256247814183,6.53926623492918,4.402725333333333,23.50662733333333,-3.536361635714286
40,Ba2Cd(BO3)2,5.980300000000001,1.4133287030866992,11.059627162642936,3.641334,8.456403,-2.818962689848485
41,Ba2Cd(BO2)6,7.7145,1.63582887035744,10.182022180674448,3.0773663333333334,4.5400263333333335,-2.897223126428572
